candidateId,electionId,photoFile,sourceUrl,rightHolder,rightsStatus,retrievedAt,notes
abe-keishi,shugiin-51st,/data/glossary/photos/shugiin-51st/abe-keishi.png,data/work/shugiin-51st-glossary-review/photos,user-confirmed local PDF source,confirmed,2026-06-01,ユーザーが権利確認済みと明示したローカルPDF由来の第51回単語帳候補者写真。秘密情報なし。
abe-toshiko,shugiin-51st,/data/glossary/photos/shugiin-51st/abe-toshiko.png,data/work/shugiin-51st-glossary-review/photos,user-confirmed local PDF source,confirmed,2026-06-01,ユーザーが権利確認済みと明示したローカルPDF由来の第51回単語帳候補者写真。秘密情報なし。
abe-tsukasa,shugiin-51st,/data/glossary/photos/shugiin-51st/abe-tsukasa.png,data/work/shugiin-51st-glossary-review/photos,user-confirmed local PDF source,confirmed,2026-06-01,ユーザーが権利確認済みと明示したローカルPDF由来の第51回単語帳候補者写真。秘密情報なし。
aisawa-ichiro,shugiin-51st,/data/glossary/photos/shugiin-51st/aisawa-ichiro.png,data/work/shugiin-51st-glossary-review/photos,user-confirmed local PDF source,confirmed,2026-06-01,ユーザーが権利確認済みと明示したローカルPDF由来の第51回単語帳候補者写真。秘密情報なし。
akaba-kazuyoshi,shugiin-51st,/data/glossary/photos/shugiin-51st/akaba-kazuyoshi.png,data/work/shugiin-51st-glossary-review/photos,user-confirmed local PDF source,confirmed,2026-06-01,ユーザーが権利確認済みと明示したローカルPDF由来の第51回単語帳候補者写真。秘密情報なし。
akama-jiro,shugiin-51st,/data/glossary/photos/shugiin-51st/akama-jiro.png,data/work/shugiin-51st-glossary-review/photos,user-confirmed local PDF source,confirmed,2026-06-01,ユーザーが権利確認済みと明示したローカルPDF由来の第51回単語帳候補者写真。秘密情報なし。
akazawa-ryosei,shugiin-51st,/data/glossary/photos/shugiin-51st/akazawa-ryosei.png,data/work/shugiin-51st-glossary-review/photos,user-confirmed local PDF source,confirmed,2026-06-01,ユーザーが権利確認済みと明示したローカルPDF由来の第51回単語帳候補者写真。秘密情報なし。
akiba-kenya,shugiin-51st,/data/glossary/photos/shugiin-51st/akiba-kenya.png,data/work/shugiin-51st-glossary-review/photos,user-confirmed local PDF source,confirmed,2026-06-01,ユーザーが権利確認済みと明示したローカルPDF由来の第51回単語帳候補者写真。秘密情報なし。
aoki-hitomi,shugiin-51st,/data/glossary/photos/shugiin-51st/aoki-hitomi.png,data/work/shugiin-51st-glossary-review/photos,user-confirmed local PDF source,confirmed,2026-06-01,ユーザーが権利確認済みと明示したローカルPDF由来の第51回単語帳候補者写真。秘密情報なし。
aoyagi-hitoshi,shugiin-51st,/data/glossary/photos/shugiin-51st/aoyagi-hitoshi.png,data/work/shugiin-51st-glossary-review/photos,user-confirmed local PDF source,confirmed,2026-06-01,ユーザーが権利確認済みと明示したローカルPDF由来の第51回単語帳候補者写真。秘密情報なし。
aoyama-shigeharu,shugiin-51st,/data/glossary/photos/shugiin-51st/aoyama-shigeharu.png,data/work/shugiin-51st-glossary-review/photos,user-confirmed local PDF source,confirmed,2026-06-01,ユーザーが権利確認済みと明示したローカルPDF由来の第51回単語帳候補者写真。秘密情報なし。
aoyama-shuhei,shugiin-51st,/data/glossary/photos/shugiin-51st/aoyama-shuhei.png,data/work/shugiin-51st-glossary-review/photos,user-confirmed local PDF source,confirmed,2026-06-01,ユーザーが権利確認済みと明示したローカルPDF由来の第51回単語帳候補者写真。秘密情報なし。
asada-masumi,shugiin-51st,/data/glossary/photos/shugiin-51st/asada-masumi.png,data/work/shugiin-51st-glossary-review/photos,user-confirmed local PDF source,confirmed,2026-06-01,ユーザーが権利確認済みと明示したローカルPDF由来の第51回単語帳候補者写真。秘密情報なし。
asano-satoshi,shugiin-51st,/data/glossary/photos/shugiin-51st/asano-satoshi.png,data/work/shugiin-51st-glossary-review/photos,user-confirmed local PDF source,confirmed,2026-06-01,ユーザーが権利確認済みと明示したローカルPDF由来の第51回単語帳候補者写真。秘密情報なし。
aso-taro,shugiin-51st,/data/glossary/photos/shugiin-51st/aso-taro.png,data/work/shugiin-51st-glossary-review/photos,user-confirmed local PDF source,confirmed,2026-06-01,ユーザーが権利確認済みと明示したローカルPDF由来の第51回単語帳候補者写真。秘密情報なし。
azemoto-shogo,shugiin-51st,/data/glossary/photos/shugiin-51st/azemoto-shogo.png,data/work/shugiin-51st-glossary-review/photos,user-confirmed local PDF source,confirmed,2026-06-01,ユーザーが権利確認済みと明示したローカルPDF由来の第51回単語帳候補者写真。秘密情報なし。
azuma-kuniyoshi,shugiin-51st,/data/glossary/photos/shugiin-51st/azuma-kuniyoshi.png,data/work/shugiin-51st-glossary-review/photos,user-confirmed local PDF source,confirmed,2026-06-01,ユーザーが権利確認済みと明示したローカルPDF由来の第51回単語帳候補者写真。秘密情報なし。
azuma-toru,shugiin-51st,/data/glossary/photos/shugiin-51st/azuma-toru.png,data/work/shugiin-51st-glossary-review/photos,user-confirmed local PDF source,confirmed,2026-06-01,ユーザーが権利確認済みと明示したローカルPDF由来の第51回単語帳候補者写真。秘密情報なし。
candidate-021,shugiin-51st,/data/glossary/photos/shugiin-51st/candidate-021.png,data/work/shugiin-51st-glossary-review/photos,user-confirmed local PDF source,confirmed,2026-06-01,ユーザーが権利確認済みと明示したローカルPDF由来の第51回単語帳候補者写真。秘密情報なし。
candidate-022,shugiin-51st,/data/glossary/photos/shugiin-51st/candidate-022.png,data/work/shugiin-51st-glossary-review/photos,user-confirmed local PDF source,confirmed,2026-06-01,ユーザーが権利確認済みと明示したローカルPDF由来の第51回単語帳候補者写真。秘密情報なし。
candidate-023,shugiin-51st,/data/glossary/photos/shugiin-51st/candidate-023.png,data/work/shugiin-51st-glossary-review/photos,user-confirmed local PDF source,confirmed,2026-06-01,ユーザーが権利確認済みと明示したローカルPDF由来の第51回単語帳候補者写真。秘密情報なし。
candidate-024,shugiin-51st,/data/glossary/photos/shugiin-51st/candidate-024.png,data/work/shugiin-51st-glossary-review/photos,user-confirmed local PDF source,confirmed,2026-06-01,ユーザーが権利確認済みと明示したローカルPDF由来の第51回単語帳候補者写真。秘密情報なし。
candidate-025,shugiin-51st,/data/glossary/photos/shugiin-51st/candidate-025.png,data/work/shugiin-51st-glossary-review/photos,user-confirmed local PDF source,confirmed,2026-06-01,ユーザーが権利確認済みと明示したローカルPDF由来の第51回単語帳候補者写真。秘密情報なし。
candidate-026,shugiin-51st,/data/glossary/photos/shugiin-51st/candidate-026.png,data/work/shugiin-51st-glossary-review/photos,user-confirmed local PDF source,confirmed,2026-06-01,ユーザーが権利確認済みと明示したローカルPDF由来の第51回単語帳候補者写真。秘密情報なし。
candidate-027,shugiin-51st,/data/glossary/photos/shugiin-51st/candidate-027.png,data/work/shugiin-51st-glossary-review/photos,user-confirmed local PDF source,confirmed,2026-06-01,ユーザーが権利確認済みと明示したローカルPDF由来の第51回単語帳候補者写真。秘密情報なし。
candidate-028,shugiin-51st,/data/glossary/photos/shugiin-51st/candidate-028.png,data/work/shugiin-51st-glossary-review/photos,user-confirmed local PDF source,confirmed,2026-06-01,ユーザーが権利確認済みと明示したローカルPDF由来の第51回単語帳候補者写真。秘密情報なし。
candidate-029,shugiin-51st,/data/glossary/photos/shugiin-51st/candidate-029.png,data/work/shugiin-51st-glossary-review/photos,user-confirmed local PDF source,confirmed,2026-06-01,ユーザーが権利確認済みと明示したローカルPDF由来の第51回単語帳候補者写真。秘密情報なし。
candidate-030,shugiin-51st,/data/glossary/photos/shugiin-51st/candidate-030.png,data/work/shugiin-51st-glossary-review/photos,user-confirmed local PDF source,confirmed,2026-06-01,ユーザーが権利確認済みと明示したローカルPDF由来の第51回単語帳候補者写真。秘密情報なし。
candidate-031,shugiin-51st,/data/glossary/photos/shugiin-51st/candidate-031.png,data/work/shugiin-51st-glossary-review/photos,user-confirmed local PDF source,confirmed,2026-06-01,ユーザーが権利確認済みと明示したローカルPDF由来の第51回単語帳候補者写真。秘密情報なし。
candidate-032,shugiin-51st,/data/glossary/photos/shugiin-51st/candidate-032.png,data/work/shugiin-51st-glossary-review/photos,user-confirmed local PDF source,confirmed,2026-06-01,ユーザーが権利確認済みと明示したローカルPDF由来の第51回単語帳候補者写真。秘密情報なし。
candidate-033,shugiin-51st,/data/glossary/photos/shugiin-51st/candidate-033.png,data/work/shugiin-51st-glossary-review/photos,user-confirmed local PDF source,confirmed,2026-06-01,ユーザーが権利確認済みと明示したローカルPDF由来の第51回単語帳候補者写真。秘密情報なし。
candidate-034,shugiin-51st,/data/glossary/photos/shugiin-51st/candidate-034.png,data/work/shugiin-51st-glossary-review/photos,user-confirmed local PDF source,confirmed,2026-06-01,ユーザーが権利確認済みと明示したローカルPDF由来の第51回単語帳候補者写真。秘密情報なし。
